dt	item_third_cate_name	item_sku_id	gmv	cost_tax	income	grossfit	gross_sales	rebate_amunt_notax	adv_amount	store_fee	deliver_fee	net_profit
2016-04	饮料	1084821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1084823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1084827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1084831	10175.0	8510.0	8562.849572649564	1711.41	1956.6095728336788	39.66666666666667	0.0	177.19701604786013	2658.762930486537	-1773.273518056717
2016-04	饮料	1084832	18666.5	15617.0	15673.752307692283	3049.5	9185.887833993535	0.0	0.0	426.0181899359545	5771.76695761443	1220.031526902519
2016-04	饮料	1085204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1085205	0.0	0.0	0.0	0.0	-89.1578139959062	0.0	0.0	0.0	0.0	-91.23960387634664
2016-04	饮料	1085208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1085209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1085210	3763.8000000000034	3223.1397999999954	3190.9926768546966	3135.4002000000078	3311.1903265813967	2217.7264957264956	0.0	2090.01980526663	2022.9574420190581	-1311.1602456235055
2016-04	饮料	1085211	33818.39999999999	32940.0	28398.283367521464	17013.509999999987	13696.602225652481	13790.692307692307	0.0	1164.4722203761855	11939.01417233376	-3423.2787386502696
2016-04	饮料	1085217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1085221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1085223	8966.700000000006	7838.542800000001	7473.321019760676	1989.3472000000052	-797.3506216235324	736.0598290598291	0.0	8050.367986359509	3725.041086119951	-13667.145845440016
2016-04	饮料	1085296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04147352209967362
2016-04	饮料	1085297	0.0	0.0	-0.17094017094017097	0.0	-590.6726379091851	0.0	0.0	1035.0175650181639	0.0	-1683.0219262858127
2016-04	饮料	1085298	0.0	0.0	0.0	0.0	-28.954347603765353	0.0	0.0	0.0	0.0	-29.060792541134447
2016-04	饮料	1085299	52721.60000000008	57798.61860000017	44268.52237558989	1190.2513999999092	2452.030051232321	5356.641025641025	0.0	11514.463514624098	25959.08639207094	-42437.198319096366
2016-04	饮料	1087165	15638.4	12760.0	13270.709948717938	2879.45	3516.265138859113	0.8974358974358974	0.0	859.6882894490747	2357.0359229791247	-398.05254323186733
2016-04	饮料	1087166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1087167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1087168	84065.50000000146	69437.0	70987.07572649611	15597.620000001456	12763.706532749404	828.3076923076925	0.0	988.6772555096121	22400.424312278927	-17958.986705217925
2016-04	饮料	1087169	0.0	0.0	0.0	0.0	12.208453947277802	0.0	0.0	0.0	0.0	12.208453947277802
2016-04	饮料	1087170	15444.0	12584.0	13107.21025641025	2963.41	2119.663006590554	88.38461538461539	0.0	1186.3970299957623	2004.4708857603994	-1789.2550520449781
2016-04	饮料	1087171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1088229	353664.6299999949	368080.8854999991	292951.3774463268	52273.484499995786	35741.373973673515	56999.77777777779	0.0	11359.138576097324	157187.88669662387	-176858.485012808
2016-04	饮料	1088243	641697.8002999916	674013.5035999836	524536.1031173524	86218.44670000796	50017.40347450256	101311.2393162393	0.0	24666.02548178101	298511.66718670924	-354251.2724901811
2016-04	饮料	1088246	484675.2999999925	504800.399800006	398009.0530221526	80009.89019998648	52299.439939978205	85585.46153846155	0.0	15399.062419225282	216644.6130293864	-240340.71370449424
2016-04	饮料	1088247	432496.8002999933	504061.11949999735	359351.20718946675	-13105.679200004044	-18682.02747646109	49964.64957264958	0.0	8395.4555858189	201584.67202009956	-287653.084157746
2016-04	饮料	1088250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06497141526942256
2016-04	饮料	1088251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.023497893169748915
2016-04	饮料	1088253	96518.23999999989	108246.68930000009	78899.67552625672	5116.330699999802	1570.710753214245	14397.247863247863	0.0	919.6942941227679	17451.309108174857	-22576.765408741976
2016-04	饮料	1088255	13551.800000000012	11807.631600000004	11042.238431316247	3910.4984000000077	2633.0048261603465	1851.5641025641025	0.0	707.3063008496409	3570.546294529722	-2681.7023730098267
2016-04	饮料	1088257	36468.199999999975	34300.00720000005	29873.135783658097	6983.632799999925	4578.209170419379	4115.7606837606845	0.0	1317.548973019353	11056.281110982753	-11116.74429134126
2016-04	饮料	1088258	59937.79999999976	55499.55070000024	49548.042490837426	10788.179299999523	7810.472762016019	5427.290598290598	0.0	1900.0958065362663	17455.930747239523	-16412.70994801817
2016-04	饮料	1088259	4559.300000000001	4497.132100000001	3750.4032263589747	2275.2479000000003	1728.0193561310305	1891.5213675213677	0.0	398.7137835704119	1489.4882471263045	-611.0642383392018
2016-04	饮料	1088260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12095501607388273
2016-04	饮料	1088261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.032485707634711265
